Time	E1_L13.1	E2_L08.1PG_Col0	E3_L13.2	E4_L08.2PG_Col0
10.2	-0.00836694	-0.00604136	-0.000164753	0.00576421
10.3	-0.00846838	-0.00612316	-5.46093e-05	0.00558698
10.4	-0.0087079	-0.00633338	-0.00026332	0.00593168
10.5	-0.00885927	-0.00629979	-0.000162626	0.00612812
10.6	-0.00886776	-0.00640428	-0.000318005	0.00599499
10.7	-0.00867685	-0.00637566	-0.000455872	0.00584559
10.8	-0.00855696	-0.00644388	-0.000401804	0.00589411
10.9	-0.00869169	-0.00655278	-0.000586154	0.00579542
11	-0.00891197	-0.00682472	-0.000751165	0.00576328
11.1	-0.00888131	-0.00671801	-0.000792695	0.00561939
11.2	-0.00860839	-0.00679695	-0.000572602	0.00555197
11.3	-0.00881543	-0.00678421	-0.000732048	0.00563866
11.4	-0.00888419	-0.00685985	-0.000755521	0.00559504
11.5	-0.00865034	-0.00679398	-0.00101981	0.00573419
11.6	-0.00874001	-0.00696913	-0.0012928	0.00568236
11.7	-0.00891082	-0.00695551	-0.00119228	0.00567721
11.8	-0.00876471	-0.00699097	-0.00117077	0.00573593
11.9	-0.00868605	-0.00706002	-0.00109961	0.00578556
12	-0.00849847	-0.0071731	-0.00124233	0.00562207
12.1	-0.00824365	-0.00704888	-0.00129613	0.00563686
12.2	-0.00823547	-0.00702223	-0.0010997	0.00568642
12.3	-0.00815432	-0.00704039	-0.000877165	0.00572465
12.4	-0.00814825	-0.007021	-0.001073	0.00568509
12.5	-0.00808832	-0.00711387	-0.000807027	0.00586514
12.6	-0.00803618	-0.00715838	-0.00106705	0.00601759
12.7	-0.00794228	-0.00699726	-0.00109772	0.00603721
12.8	-0.007945	-0.00708192	-0.00096205	0.00616735
12.9	-0.00772749	-0.00690743	-0.000910941	0.0059891
13	-0.00782104	-0.00707324	-0.00124612	0.00606282
13.1	-0.00773992	-0.00703611	-0.00110881	0.0060192
13.2	-0.0077488	-0.00721281	-0.000892742	0.00607492
13.3	-0.00774358	-0.00729891	-0.00116706	0.00590293
13.4	-0.00796536	-0.00721949	-0.00122354	0.00617477
13.5	-0.00787508	-0.00728647	-0.00126309	0.0062881
13.6	-0.00785383	-0.00754222	-0.00143399	0.00598579
13.7	-0.00804275	-0.00751911	-0.00140912	0.00585022
13.8	-0.00830579	-0.00781682	-0.00146629	0.00602877
13.9	-0.00824767	-0.00780492	-0.00161319	0.00608068
14	-0.00852469	-0.00780966	-0.00157336	0.00609441
14.1	-0.00868715	-0.00807142	-0.00165664	0.0059277
14.2	-0.00886462	-0.00827833	-0.0014819	0.00599508
14.3	-0.00866907	-0.00819426	-0.00157752	0.00591844
14.4	-0.00853925	-0.00830667	-0.00181709	0.00570541
14.5	-0.00870773	-0.00835162	-0.00166132	0.00575251
14.6	-0.00891175	-0.00851441	-0.00190312	0.0058386
14.7	-0.00870246	-0.00853275	-0.0016217	0.00604586
14.8	-0.00865573	-0.00869242	-0.00137781	0.0058874
14.9	-0.00869099	-0.008623	-0.00170509	0.00601512
15	-0.00890541	-0.00841033	-0.00161277	0.00600988
15.1	-0.00889897	-0.00846525	-0.00171441	0.00620821
15.2	-0.00893418	-0.00848992	-0.00182371	0.00599881
15.3	-0.00896894	-0.00848146	-0.00165449	0.00625764
15.4	-0.0086394	-0.0085233	-0.00163148	0.00625205
15.5	-0.00883028	-0.00855861	-0.00166792	0.00627564
15.6	-0.0089596	-0.00878964	-0.00181326	0.00632781
15.7	-0.00899953	-0.00888939	-0.00200723	0.00624197
15.8	-0.00904491	-0.00883977	-0.00215246	0.00623448
15.9	-0.00906807	-0.00874916	-0.00192238	0.00621384
16	-0.00877231	-0.00858015	-0.00174287	0.00635301
16.1	-0.00886867	-0.00868918	-0.00205703	0.00625632
16.2	-0.00892351	-0.00869158	-0.00197706	0.00621774
16.3	-0.00859032	-0.00876904	-0.0019653	0.00619381
16.4	-0.0085633	-0.00871223	-0.00219733	0.00633329
16.5	-0.00839136	-0.00875696	-0.00226267	0.00617768
16.6	-0.00833254	-0.0087329	-0.0018724	0.0062533
16.7	-0.00800669	-0.00876072	-0.00214749	0.0063011
16.8	-0.00824815	-0.00862573	-0.00203576	0.00639042
16.9	-0.00801648	-0.00831405	-0.00197358	0.00638258
17	-0.00789053	-0.00874647	-0.00204839	0.00640617
17.1	-0.00791705	-0.00835248	-0.00209102	0.00645123
17.2	-0.00793343	-0.00849543	-0.00211157	0.00644161
17.3	-0.00773754	-0.00828071	-0.00228402	0.00650212
17.4	-0.00771148	-0.00820334	-0.0018959	0.00647298
17.5	-0.00780615	-0.00830843	-0.00189564	0.00625626
17.6	-0.00778711	-0.00835333	-0.002027	0.00649458
17.7	-0.00760438	-0.00819134	-0.00173318	0.00648406
17.8	-0.00761745	-0.00793583	-0.00176376	0.00647472
17.9	-0.00770516	-0.00796174	-0.00144979	0.00640424
18	-0.00767355	-0.00808526	-0.00168271	0.00646778
18.1	-0.00762292	-0.00784524	-0.00174908	0.00650357
18.2	-0.00755894	-0.00800439	-0.00152917	0.00658485
18.3	-0.00750598	-0.00801194	-0.00164516	0.00675341
18.4	-0.00740172	-0.00784758	-0.00170892	0.00673322
18.5	-0.00722654	-0.00789916	-0.00163171	0.00647273
18.6	-0.00729141	-0.00778638	-0.00204338	0.00658767
