"Seconds","Leaf","V","plant","Genotype","Stim","Date","DayTime","Plot","id"
79,"L08",-2.30165,2,"Col0","CG",250101,"15:34:38.886","Yes",1
80,"L08",-2.40252,2,"Col0","CG",250101,"15:34:39.886","Yes",1
81,"L08",-2.49142,2,"Col0","CG",250101,"15:34:40.886","Yes",1
82,"L08",-2.50236,2,"Col0","CG",250101,"15:34:41.886","Yes",1
83,"L08",-2.5676,2,"Col0","CG",250101,"15:34:42.886","Yes",1
84,"L08",-2.55197,2,"Col0","CG",250101,"15:34:43.886","Yes",1
85,"L08",-2.57739,2,"Col0","CG",250101,"15:34:44.886","Yes",1
86,"L08",-2.56138,2,"Col0","CG",250101,"15:34:45.886","Yes",1
87,"L08",-2.51195,2,"Col0","CG",250101,"15:34:46.886","Yes",1
88,"L08",-2.50028,2,"Col0","CG",250101,"15:34:47.886","Yes",1
89,"L08",-2.49988,2,"Col0","CG",250101,"15:34:48.886","Yes",1
90,"L08",-2.51318,2,"Col0","CG",250101,"15:34:49.886","Yes",1
91,"L08",-2.55611,2,"Col0","CG",250101,"15:34:50.886","Yes",1
NA,"L08",NA,2,"Col0","CG",250101,"F1","Yes",1
92,"L08",-2.60237,2,"Col0","CG",250101,"15:34:51.886","Yes",1
93,"L08",-2.60372,2,"Col0","CG",250101,"15:34:52.886","Yes",1
NA,"L08",NA,2,"Col0","CG",250101,"F1","Yes",1
94,"L08",-2.58617,2,"Col0","CG",250101,"15:34:53.886","Yes",1
95,"L08",-2.54737,2,"Col0","CG",250101,"15:34:54.886","Yes",1
96,"L08",-2.49919,2,"Col0","CG",250101,"15:34:55.886","Yes",1
97,"L08",-2.54497,2,"Col0","CG",250101,"15:34:56.886","Yes",1
98,"L08",-2.5447,2,"Col0","CG",250101,"15:34:57.886","Yes",1
99,"L08",-2.51473,2,"Col0","CG",250101,"15:34:58.886","Yes",1
100,"L08",-2.53931,2,"Col0","CG",250101,"15:34:59.886","Yes",1
101,"L08",-2.56722,2,"Col0","CG",250101,"15:35:00.886","Yes",1
102,"L08",-2.58014,2,"Col0","CG",250101,"15:35:01.886","Yes",1
103,"L08",-2.60718,2,"Col0","CG",250101,"15:35:02.886","Yes",1
104,"L08",-2.61675,2,"Col0","CG",250101,"15:35:03.886","Yes",1
105,"L08",-2.62707,2,"Col0","CG",250101,"15:35:04.886","Yes",1
106,"L08",-2.6949,2,"Col0","CG",250101,"15:35:05.886","Yes",1
107,"L08",-2.7122,2,"Col0","CG",250101,"15:35:06.886","Yes",1
108,"L08",-2.75684,2,"Col0","CG",250101,"15:35:07.886","Yes",1
109,"L08",-2.78669,2,"Col0","CG",250101,"15:35:08.886","Yes",1
110,"L08",-2.92948,2,"Col0","CG",250101,"15:35:09.886","Yes",1
111,"L08",-2.92162,2,"Col0","CG",250101,"15:35:10.886","Yes",1
112,"L08",-3.22995,2,"Col0","CG",250101,"15:35:11.886","Yes",1
113,"L08",-3.5818,2,"Col0","CG",250101,"15:35:12.886","Yes",1
114,"L08",-3.82866,2,"Col0","CG",250101,"15:35:13.886","Yes",1
115,"L08",-3.9657,2,"Col0","CG",250101,"15:35:14.886","Yes",1
116,"L08",-4.08913,2,"Col0","CG",250101,"15:35:15.886","Yes",1
117,"L08",-4.17575,2,"Col0","CG",250101,"15:35:16.886","Yes",1
NA,"L08",NA,2,"Col0","CG",250101,"F1","Yes",1
118,"L08",-111.436,2,"Col0","CG",250101,"15:35:17.886","Yes",1
119,"L08",-110.594,2,"Col0","CG",250101,"15:35:18.886","Yes",1
120,"L08",-97.6903,2,"Col0","CG",250101,"15:35:19.886","Yes",1
NA,"L08",NA,2,"Col0","CG",250101,"F1","Yes",1
121,"L08",-94.3858,2,"Col0","CG",250101,"15:35:20.886","Yes",1
122,"L08",-86.4282,2,"Col0","CG",250101,"15:35:21.886","Yes",1
123,"L08",-82.8892,2,"Col0","CG",250101,"15:35:22.886","Yes",1
124,"L08",-79.5992,2,"Col0","CG",250101,"15:35:23.886","Yes",1
125,"L08",-75.9773,2,"Col0","CG",250101,"15:35:24.886","Yes",1
126,"L08",-70.974,2,"Col0","CG",250101,"15:35:25.886","Yes",1
127,"L08",-60.6295,2,"Col0","CG",250101,"15:35:26.886","Yes",1
128,"L08",-56.4912,2,"Col0","CG",250101,"15:35:27.886","Yes",1
129,"L08",-52.8738,2,"Col0","CG",250101,"15:35:28.886","Yes",1
130,"L08",-51.6911,2,"Col0","CG",250101,"15:35:29.886","Yes",1
131,"L08",-57.9625,2,"Col0","CG",250101,"15:35:30.886","Yes",1
132,"L08",-69.2407,2,"Col0","CG",250101,"15:35:31.886","Yes",1
133,"L08",-84.5576,2,"Col0","CG",250101,"15:35:32.886","Yes",1
134,"L08",-92.8776,2,"Col0","CG",250101,"15:35:33.886","Yes",1
135,"L08",-94.9828,2,"Col0","CG",250101,"15:35:34.886","Yes",1
136,"L08",-94.083,2,"Col0","CG",250101,"15:35:35.886","Yes",1
137,"L08",-92.9344,2,"Col0","CG",250101,"15:35:36.886","Yes",1
138,"L08",-92.265,2,"Col0","CG",250101,"15:35:37.886","Yes",1
139,"L08",-92.202,2,"Col0","CG",250101,"15:35:38.886","Yes",1
140,"L08",-92.3787,2,"Col0","CG",250101,"15:35:39.886","Yes",1
141,"L08",-92.9715,2,"Col0","CG",250101,"15:35:40.886","Yes",1
142,"L08",-93.589,2,"Col0","CG",250101,"15:35:41.886","Yes",1
143,"L08",-93.8443,2,"Col0","CG",250101,"15:35:42.886","Yes",1
144,"L08",-93.4808,2,"Col0","CG",250101,"15:35:43.886","Yes",1
145,"L08",-92.1165,2,"Col0","CG",250101,"15:35:44.886","Yes",1
146,"L08",-90.5965,2,"Col0","CG",250101,"15:35:45.886","Yes",1
147,"L08",-88.5329,2,"Col0","CG",250101,"15:35:46.886","Yes",1
148,"L08",-86.6352,2,"Col0","CG",250101,"15:35:47.886","Yes",1
149,"L08",-85.0068,2,"Col0","CG",250101,"15:35:48.886","Yes",1
150,"L08",-83.6564,2,"Col0","CG",250101,"15:35:49.886","Yes",1
151,"L08",-82.7291,2,"Col0","CG",250101,"15:35:50.886","Yes",1
152,"L08",-81.7784,2,"Col0","CG",250101,"15:35:51.886","Yes",1
153,"L08",-81.0278,2,"Col0","CG",250101,"15:35:52.886","Yes",1
154,"L08",-80.3927,2,"Col0","CG",250101,"15:35:53.886","Yes",1
155,"L08",-79.8371,2,"Col0","CG",250101,"15:35:54.886","Yes",1
156,"L08",-79.316,2,"Col0","CG",250101,"15:35:55.886","Yes",1
157,"L08",-78.8031,2,"Col0","CG",250101,"15:35:56.886","Yes",1
158,"L08",-78.1426,2,"Col0","CG",250101,"15:35:57.886","Yes",1
159,"L08",-77.3823,2,"Col0","CG",250101,"15:35:58.886","Yes",1
160,"L08",-76.5932,2,"Col0","CG",250101,"15:35:59.886","Yes",1
161,"L08",-75.8029,2,"Col0","CG",250101,"15:36:00.886","Yes",1
162,"L08",-74.7526,2,"Col0","CG",250101,"15:36:01.886","Yes",1
163,"L08",-73.9021,2,"Col0","CG",250101,"15:36:02.886","Yes",1
164,"L08",-73.1781,2,"Col0","CG",250101,"15:36:03.886","Yes",1
