TimeOfDay	Time	E1_L13.1	E2_L08.1CG_Col0	E3_L13.2	E4_L08.2CG_almt5-1
14:54:32.516	76	0.0281812	0.00973673	0.0537248	-0.0453365
14:54:33.516	77	0.0282401	0.00958192	0.0545204	-0.0450899
14:54:34.516	78	0.0288685	0.00960476	0.0554249	-0.0454252
14:54:35.516	79	0.0291353	0.00940162	0.0562369	-0.0460536
14:54:36.516	80	0.0294659	0.00928146	0.0570661	-0.0463141
14:54:37.516	81	0.0298308	0.00906854	0.0579809	-0.0465897
14:54:38.516	82	0.0303949	0.00904312	0.058774	-0.0472717
14:54:39.516	83	0.0308883	0.00896477	0.059915	-0.0471845
14:54:40.516	84	0.0299333	0.00844308	0.0606273	-0.0472828
14:54:41.516	85	0.0287786	0.00602282	0.0599831	-0.0481877
14:54:42.516	86	0.0277253	0.00183935	0.0600731	-0.0364112
14:54:43.516	87	0.0276071	-0.000964887	0.0597742	-0.00871061
14:54:44.516	88	0.0283794	-0.00176379	0.0595298	-0.00817167
14:54:45.516	89	0.0286186	-0.00073932	0.0598234	-0.000810932
14:54:46.516	90	0.029415	0.000250756	0.028743	-0.00177438
14:54:47.516	91	0.0300523	0.00110827	-0.0362145	-0.00193612
14:54:48.516	92	0.0275862	0.00141045	-0.0366013	-0.00189252
14:54:49.516	93	-0.0208484	0.00124424	-0.0354317	-0.00132715
14:54:50.516	94	-0.0491819	0.000104714	-0.0344384	-0.00123643
14:54:51.516	95	-0.0492023	-5.37087e-05	-0.0330647	-0.00103359
14:54:52.516	96	-0.0491061	-0.0005018	-0.0315649	-0.000608079	F1
14:54:53.516	97	-0.0421854	-0.0117346	-0.0313311	-0.000664752
14:54:54.516	98	-0.0437764	-0.0347653	-0.0304113	-0.00068084
14:54:55.516	99	-0.0450262	-0.0143872	-0.0298302	-0.000613896	F1
14:54:56.516	100	0.000541286	-0.029328	-0.0291012	-0.000632902
14:54:57.516	101	-0.0105763	-0.00257808	-0.0281231	-0.000563805	F1
14:54:58.516	102	-0.0155918	0.00372161	-0.0261875	-0.00505403
14:54:59.516	103	-0.0173455	0.00425812	-0.0236181	-0.00320627
14:55:00.516	104	-0.0189027	0.00448607	-0.0241979	-0.0184626
14:55:01.516	105	-0.0206471	0.00210356	-0.0241786	-0.022379	F1
14:55:02.516	106	-0.0221984	-0.000385867	-0.0226058	-0.0313666
14:55:03.516	107	-0.0228536	-0.00235547	-0.0218232	-0.0390998
14:55:04.516	108	-0.0239325	-0.00461394	-0.0210473	-0.0248906
14:55:05.516	109	-0.0246277	-0.00842113	-0.020638	-0.0250456
14:55:06.516	110	-0.0253682	-0.0171822	-0.0208176	-0.0173778
14:55:07.516	111	-0.0259588	-0.0350574	-0.0205301	-0.0148116
14:55:08.516	112	-0.0265728	-0.0816291	-0.0182131	0.0522762
14:55:09.516	113	-0.0268912	-0.174663	-0.0190787	0.0169555
14:55:10.516	114	-0.0268497	-0.409637	-0.0183826	0.0227177
14:55:11.516	115	-0.0265594	-0.803432	-0.0179529	0.0270831
14:55:12.516	116	-0.0261532	-0.915903	-0.0176427	0.0300046
14:55:13.516	117	-0.0261079	-0.929293	-0.0174067	0.033821
14:55:14.516	118	-0.0258059	-0.923191	-0.0170305	0.0338261
14:55:15.516	119	-0.0253429	-0.917798	-0.0164517	0.0348676
14:55:16.516	120	-0.0249729	-0.917107	-0.0163272	0.0272213
14:55:17.516	121	-0.0246731	-0.913505	-0.0160488	-0.280984
14:55:18.516	122	-0.0242292	-0.908139	-0.0157852	-0.358574
14:55:19.516	123	-0.0238221	-0.904701	-0.0150145	-0.437852
14:55:20.516	124	-0.0233894	-0.896164	-0.0146629	-0.545227
14:55:21.516	125	-0.0228713	-0.888503	-0.0138288	-0.722433
14:55:22.516	126	-0.0224406	-0.881165	-0.0129919	-0.968655
14:55:23.516	127	-0.0222798	-0.869897	-0.0116566	-1.16358
14:55:24.516	128	-0.0221223	-0.853279	-0.00918144	-1.22665
14:55:25.516	129	-0.0197983	-0.829822	-0.00398622	-1.11391
14:55:26.516	130	-0.0115657	-0.806688	0.00560961	-2.10664
14:55:27.516	131	0.00234292	-0.786317	0.0212101	-0.709855
14:55:28.516	132	0.0166015	-0.770383	0.0396518	-0.592863
14:55:29.516	133	0.0330185	-0.749946	0.0513114	-0.556711
14:55:30.516	134	0.0627837	-0.717918	0.0554399	-0.550583
14:55:31.516	135	0.120046	-0.655345	0.0526723	-0.549583
14:55:32.516	136	0.144948	-0.620717	0.0528713	-0.542789
14:55:33.516	137	0.129308	-0.612254	0.0547412	-0.531195
14:55:34.516	138	0.0629606	-0.6059	0.0616114	-0.513054
14:55:35.516	139	-0.182672	-0.59468	0.0693588	-0.489757
14:55:36.516	140	-0.551874	-0.573158	0.0842982	-0.46377
14:55:37.516	141	-0.711201	-0.548762	0.105635	-0.442357
14:55:38.516	142	-0.712904	-0.530427	0.127699	-0.421619
14:55:39.516	143	-0.691079	-0.515426	0.14888	-0.403119
14:55:40.516	144	-0.677391	-0.504343	0.170476	-0.389679
14:55:41.516	145	-0.674822	-0.499091	0.183071	-0.377612
14:55:42.516	146	-0.677026	-0.495053	0.139058	-0.365733
14:55:43.516	147	-0.682577	-0.493194	-0.0710326	-0.350685
14:55:44.516	148	-0.68885	-0.489495	-0.505359	-0.33504
14:55:45.516	149	-0.694516	-0.486137	-0.594668	-0.321259
14:55:46.516	150	-0.698614	-0.482188	-0.55005	-0.305598
14:55:47.516	151	-0.700427	-0.478932	-0.511849	-0.287886
14:55:48.516	152	-0.700984	-0.476129	-0.484411	-0.270145
14:55:49.516	153	-0.701008	-0.473593	-0.45828	-0.251966
14:55:50.516	154	-0.699428	-0.470015	-0.432342	-0.233654
14:55:51.516	155	-0.697056	-0.465061	-0.415505	-0.220906
14:55:52.516	156	-0.693579	-0.459261	-0.405561	-0.212273
14:55:53.516	157	-0.689317	-0.452482	-0.392649	-0.202212
14:55:54.516	158	-0.683391	-0.444202	-0.373025	-0.188975
14:55:55.516	159	-0.677318	-0.436468	-0.349413	-0.173446
14:55:56.516	160	-0.671038	-0.429223	-0.345292	-0.17026
14:55:57.516	161	-0.664923	-0.422333	-0.345693	-0.170452
14:55:58.516	162	-0.658764	-0.415478	-0.344943	-0.169533
14:55:59.516	163	-0.653095	-0.409561	-0.344245	-0.169016
14:56:00.516	164	-0.648124	-0.403212	-0.342026	-0.167724
14:56:01.516	165	-0.642962	-0.396905	-0.339406	-0.16584
14:56:02.516	166	-0.63742	-0.390436	-0.331384	-0.160782
14:56:03.516	167	-0.631671	-0.384001	-0.318692	-0.152068
14:56:04.516	168	-0.626288	-0.378033	-0.316083	-0.149172
14:56:05.516	169	-0.621501	-0.372451	-0.318066	-0.149511
14:56:06.516	170	-0.615617	-0.36677	-0.318567	-0.14884
14:56:07.516	171	-0.610475	-0.361886	-0.319527	-0.148364
14:56:08.516	172	-0.605692	-0.358272	-0.320895	-0.148115
14:56:09.516	173	-0.601668	-0.355281	-0.322548	-0.148232
14:56:10.516	174	-0.597458	-0.353105	-0.324467	-0.148212
14:56:11.516	175	-0.593029	-0.350399	-0.326538	-0.148572
14:56:12.516	176	-0.58852	-0.348127	-0.329027	-0.149198
14:56:13.516	177	-0.584259	-0.346565	-0.331762	-0.149582
14:56:14.516	178	-0.579803	-0.344833	-0.334598	-0.150674
14:56:15.516	179	-0.575515	-0.34358	-0.336821	-0.151723
14:56:16.516	180	-0.570674	-0.342003	-0.337947	-0.151352
14:56:17.516	181	-0.566882	-0.341406	-0.337751	-0.150177
14:56:18.516	182	-0.56301	-0.341223	-0.340187	-0.149975
14:56:19.516	183	-0.558698	-0.340347	-0.346628	-0.153094
14:56:20.516	184	-0.553743	-0.339788	-0.352407	-0.155404
14:56:21.516	185	-0.548355	-0.339813	-0.356316	-0.157339
14:56:22.516	186	-0.542788	-0.339722	-0.359082	-0.158947
14:56:23.516	187	-0.536488	-0.339885	-0.361189	-0.160119
14:56:24.516	188	-0.529815	-0.340346	-0.363427	-0.161514
14:56:25.516	189	-0.521537	-0.341193	-0.365562	-0.162441
14:56:26.516	190	-0.512167	-0.340868	-0.36745	-0.163351
14:56:27.516	191	-0.500423	-0.340231	-0.36963	-0.163108
14:56:28.516	192	-0.486587	-0.3399	-0.371827	-0.162817
14:56:29.516	193	-0.471527	-0.339686	-0.374671	-0.16223
14:56:30.516	194	-0.454658	-0.339494	-0.3779	-0.161597
14:56:31.516	195	-0.435041	-0.339711	-0.381497	-0.161001
14:56:32.516	196	-0.413278	-0.339146	-0.38512	-0.160276
14:56:33.516	197	-0.38944	-0.338129	-0.388283	-0.159292
14:56:34.516	198	-0.364735	-0.338023	-0.391692	-0.157923
14:56:35.516	199	-0.338531	-0.33801	-0.394818	-0.156585
14:56:36.516	200	-0.311932	-0.33815	-0.397534	-0.155333
14:56:37.516	201	-0.283998	-0.338756	-0.399605	-0.15369
14:56:38.516	202	-0.256091	-0.339134	-0.402177	-0.152494
14:56:39.516	203	-0.227916	-0.338995	-0.40399	-0.151546
14:56:40.516	204	-0.199971	-0.33743	-0.405289	-0.14994
14:56:41.516	205	-0.173485	-0.336988	-0.40689	-0.148999
14:56:42.516	206	-0.149495	-0.336873	-0.40834	-0.14803
14:56:43.516	207	-0.12565	-0.335845	-0.410042	-0.146834
14:56:44.516	208	-0.104787	-0.334966	-0.411674	-0.146205
14:56:45.516	209	-0.0867988	-0.334832	-0.413251	-0.145817
14:56:46.516	210	-0.0719713	-0.334826	-0.415248	-0.145253
14:56:47.516	211	-0.05917	-0.334716	-0.417463	-0.145322
14:56:48.516	212	-0.0490718	-0.335223	-0.41982	-0.146341
