Time	E1_L08.1PG_Col.0	E2_L13.1	E3_L08.2PG_Col.0	E4_L13.2
0	0.00140623	0.00859709	-0.00832818	0.00163074
0.01	0.00156973	0.0091192	-0.00748537	0.00195407
0.02	0.00146202	0.00902634	-0.00821211	0.00191663
0.03	0.00161391	0.00949714	-0.00785528	0.00194971
0.04	0.00143938	0.00937541	-0.00805935	0.00188716
0.05	0.0013791	0.00954244	-0.00806252	0.00178111
0.06	0.00150335	0.00943475	-0.00834419	0.00183756
0.07	0.00155127	0.00968445	-0.00828293	0.00189599
0.08	0.00138058	0.00926806	-0.00803123	0.00208469
0.09	0.00152699	0.0094317	-0.00756783	0.001991
0.1	0.00150603	0.00913727	-0.00804072	0.00200454
0.11	0.00167005	0.00946537	-0.00790307	0.00206462
0.12	0.00127866	0.00939503	-0.00802335	0.00207473
0.13	0.0014534	0.00965346	-0.00777744	0.0020078
0.14	0.00133253	0.00917945	-0.00811659	0.00197709
0.15	0.00131047	0.0092598	-0.0079837	0.00201835
0.16	0.00124808	0.00903946	-0.00831278	0.00210203
0.17	0.00141595	0.00939905	-0.00775578	0.00208001
0.18	0.00143438	0.0088539	-0.00813432	0.00192777
0.19	0.00130344	0.00920482	-0.00769396	0.00205528
0.2	0.00112303	0.00911562	-0.00810019	0.0021832
0.21	0.00140068	0.00950741	-0.00742601	0.00211547
0.22	0.00138482	0.00909279	-0.00820198	0.00212743
0.23	0.00159696	0.00965721	-0.00785146	0.00211802
0.24	0.00161333	0.00928211	-0.00812433	0.00192596
0.25	0.00138919	0.00955181	-0.00737462	0.00200269
0.26	0.00121356	0.00933288	-0.00789556	0.0020881
0.27	0.00152295	0.00956995	-0.00755089	0.00183675
0.28	0.00132022	0.00924974	-0.00790492	0.0019693
0.29	0.00136623	0.00974818	-0.00738894	0.00203632
0.3	0.0013422	0.00904327	-0.00798862	0.002106
0.31	0.00148528	0.00970093	-0.00774656	0.00219858
0.32	0.0012973	0.00918182	-0.00827419	0.00187818
0.33	0.00139204	0.00962946	-0.00769409	0.00197073
0.34	0.00151126	0.0091503	-0.00813644	0.0020095
0.35	0.00158733	0.00942806	-0.00743123	0.00215001
0.36	0.00153782	0.00905513	-0.00800713	0.00192939
0.37	0.00161199	0.00915501	-0.00791409	0.00194057
0.38	0.00132104	0.00878816	-0.00823392	0.00220017
0.39	0.0015129	0.00919172	-0.00774832	0.00213475
0.4	0.00152259	0.00908385	-0.00820882	0.00199163
0.41	0.00151136	0.00943349	-0.00780947	0.00219758
0.42	0.00140362	0.00902701	-0.00824065	0.00206833
0.43	0.00146216	0.00934184	-0.00775608	0.00205611
0.44	0.00144377	0.00912498	-0.00815	0.00201166
0.45	0.00135891	0.00922174	-0.00789579	0.0019117
0.46	0.00120089	0.00912902	-0.00821731	0.00206254
