Time	E1_L08.1PG_Col.0	E2_L13.1	E3_L13.2	E4_L08.2PG_Col.0
1.02	-1.85244e-06	0.00209631	-0.00206039	0.0177304
1.03	-0.000161736	0.00210088	-0.00183572	0.0174187
1.04	-5.84851e-05	0.00249015	-0.00195738	0.0169333
1.05	-4.86671e-05	0.00232985	-0.00200904	0.0171307
1.06	-0.000187952	0.00212197	-0.00189299	0.0173007
1.07	-0.000198223	0.00230377	-0.00209033	0.0171667
1.08	-2.62435e-05	0.00243873	-0.00179926	0.0174008
1.09	-9.84483e-05	0.00224255	-0.00186205	0.0179696
1.1	-0.000190599	0.00231482	-0.00206373	0.0176695
1.11	-0.000233607	0.00220255	-0.0020013	0.0174703
1.12	-0.000137336	0.00213985	-0.0019241	0.017664
1.13	-0.000101125	0.0021767	-0.0020551	0.0179287
1.14	-0.000251298	0.00224347	-0.00219506	0.0177603
1.15	-4.46481e-05	0.00223307	-0.0021638	0.0180547
1.16	-0.000105779	0.00228221	-0.00223149	0.0177584
1.17	-0.000221779	0.00227446	-0.00200181	0.0177575
1.18	-8.1702e-05	0.00228238	-0.00204369	0.0174271
1.19	9.29852e-05	0.00222994	-0.00224912	0.0175773
1.2	-0.000165072	0.00239973	-0.00174729	0.0170093
1.21	1.25438e-06	0.00226556	-0.00186578	0.0170869
1.22	-0.000116115	0.00244488	-0.00199031	0.0174533
1.23	-9.31057e-05	0.00235356	-0.00198042	0.017916
1.24	-0.00010199	0.00233942	-0.00210921	0.0172213
1.25	0.000122792	0.00229331	-0.00228397	0.0170592
1.26	-0.000108452	0.0025685	-0.00193526	0.0173766
1.27	-7.59545e-06	0.00238925	-0.00210497	0.0178028
1.28	-3.61735e-05	0.0024286	-0.00198945	0.0182518
1.29	-2.72233e-05	0.00223872	-0.00200918	0.018186
1.3	-0.000144411	0.00217246	-0.00209109	0.0182926
1.31	-2.44016e-05	0.00214427	-0.00223858	0.0181807
1.32	-0.000149079	0.00204009	-0.0021544	0.0183516
1.33	-4.27492e-06	0.00201206	-0.00232972	0.018098
1.34	9.10351e-05	0.00217299	-0.00229681	0.018292
1.35	8.94187e-05	0.0019681	-0.00227122	0.0185825
1.36	-0.000200252	0.00210006	-0.00232931	0.0191302
