Time	E1_L08.1PG_Col.0	E2_L13.1	E3_L08.2PG_Col.0	E4_L13.2
1.05	0.0485186	-0.00368138	0.022931	-0.00273896
1.06	0.0482821	-0.00373454	0.0231605	-0.00296762
1.07	0.0485288	-0.00357334	0.0230604	-0.0030239
1.08	0.0485315	-0.00385794	0.0230161	-0.00305774
1.09	0.0487336	-0.00371791	0.0227776	-0.00280474
1.1	0.0485356	-0.00380632	0.0229459	-0.00284285
1.11	0.0484988	-0.00351678	0.0230394	-0.00281198
1.12	0.0484536	-0.00370351	0.0229554	-0.00300402
1.13	0.0484809	-0.0037254	0.0229003	-0.00301081
1.14	0.0483925	-0.00359847	0.0230847	-0.00303414
1.15	0.0483348	-0.00339956	0.0229869	-0.00292107
1.16	0.0484815	-0.00367498	0.0228491	-0.00300145
1.17	0.0486336	-0.0036187	0.0227291	-0.00292358
1.18	0.0484229	-0.00382231	0.0228008	-0.00299949
1.19	0.0484777	-0.0037408	0.0227445	-0.00301506
1.2	0.0483808	-0.00367347	0.0228859	-0.00299267
1.21	0.048388	-0.00369385	0.0228097	-0.00284499
1.22	0.0482592	-0.00377859	0.0227428	-0.00302343
1.23	0.048337	-0.00371188	0.0227857	-0.00296338
1.24	0.0484192	-0.00391188	0.0230129	-0.00305046
1.25	0.0485917	-0.00376606	0.0228142	-0.00301816
1.26	0.0485145	-0.00369397	0.0230068	-0.00316741
1.27	0.0485061	-0.00371801	0.0226649	-0.00303275
1.28	0.0484594	-0.00383483	0.0227197	-0.00293337
1.29	0.0485687	-0.0035322	0.022798	-0.00303781
1.3	0.0486646	-0.003713	0.0228394	-0.00299688
1.31	0.0487354	-0.00341669	0.0228148	-0.00289193
1.32	0.0484392	-0.00378224	0.0228349	-0.00298855
1.33	0.0485422	-0.00369781	0.0230629	-0.00285453
1.34	0.0484377	-0.00384975	0.0228547	-0.00298467
1.35	0.048625	-0.0036035	0.0228647	-0.00291107
1.36	0.0485935	-0.00380018	0.0227828	-0.0029162
1.37	0.0486629	-0.00370054	0.0229112	-0.00271143
1.38	0.0484119	-0.00376947	0.0227667	-0.0029115
1.39	0.0486678	-0.00356332	0.0229467	-0.00300766
1.4	0.0485568	-0.00378505	0.0228809	-0.00308129
1.41	0.0487151	-0.00367741	0.0229448	-0.00309513
1.42	0.0485097	-0.00396803	0.022844	-0.00310473
1.43	0.0485668	-0.00347771	0.0229888	-0.00296591
1.44	0.0485319	-0.00381517	0.0230731	-0.00292312
1.45	0.0486661	-0.00356868	0.0231441	-0.00286726
1.46	0.0486088	-0.00398252	0.022612	-0.0030657
1.47	0.0486984	-0.00388753	0.0229213	-0.00299782
1.48	0.0484695	-0.00423592	0.0229616	-0.00308081
1.49	0.0486538	-0.00398435	0.0227833	-0.0031135
1.5	0.0485787	-0.00379114	0.0227405	-0.00294552
1.51	0.0488113	-0.00364564	0.0227934	-0.00289717
1.52	0.0486205	-0.00399325	0.0227717	-0.0031404
1.53	0.0487361	-0.00384874	0.023099	-0.00300711
1.54	0.0483429	-0.00394085	0.0229731	-0.00285556
1.55	0.0484563	-0.00368973	0.0228533	-0.00293631
1.56	0.0485276	-0.00398531	0.0229745	-0.0030634
1.57	0.0486209	-0.00374537	0.0229154	-0.00294334
1.58	0.0484775	-0.00386385	0.0224476	-0.0030097
1.59	0.0486273	-0.00384016	0.022533	-0.00293958
1.6	0.0485662	-0.00405085	0.0223472	-0.00293205
1.61	0.0487881	-0.00371952	0.022784	-0.00279289
1.62	0.0486019	-0.00393983	0.0225808	-0.0030407
1.63	0.0487002	-0.0037693	0.0226247	-0.00291158
1.64	0.0485397	-0.00400074	0.0224837	-0.00293182
1.65	0.0486184	-0.00400731	0.0225903	-0.00271597
1.66	0.0484957	-0.00402369	0.0225828	-0.00300724
1.67	0.0485889	-0.00391843	0.023025	-0.00283882
1.68	0.0484111	-0.00403212	0.0229048	-0.00306791
1.69	0.0485295	-0.00378514	0.0228874	-0.00293749
1.7	0.0483941	-0.00387424	0.0227774	-0.00292227
1.71	0.0485252	-0.00375232	0.0231507	-0.00290813
1.72	0.048335	-0.00410153	0.0229715	-0.00309049
1.73	0.0484479	-0.00405465	0.0229142	-0.00298863
