TimeOfDay	Time	E1_L08.1CG_Col0	E2_L13.1	E3_L08.2CG_mutant	E4_L13.2
15:21:00.953	76	0.00743572	0.000293095	0.00921165	-0.0113557
15:21:01.953	77	0.00758967	-0.000703361	0.00906579	-0.0128537
15:21:02.953	78	0.007823	-0.000738005	0.00865804	-0.0145493
15:21:03.953	79	0.00800148	-0.00101643	0.00844998	-0.0154172
15:21:04.953	80	0.00881404	-0.000537813	0.00877576	-0.0157037
15:21:05.953	81	0.00936267	-0.000433465	0.00934879	-0.0152263
15:21:06.953	82	0.00992275	-0.000129669	0.0100548	-0.014648
15:21:07.953	83	0.010755	-0.000266665	0.0106323	-0.0144804
15:21:08.953	84	0.0118125	-0.000107528	0.0116563	-0.0136838
15:21:09.953	85	0.0120722	0.000228243	0.012571	-0.0130748
15:21:10.953	86	0.0128939	-0.000340641	0.014023	-0.0126785
15:21:11.953	87	0.0131695	-0.000514509	0.0149417	-0.0120516
15:21:12.953	88	0.0140752	-0.000649672	0.0158384	-0.0118846
15:21:13.953	89	0.0149688	-0.00151738	0.016142	-0.0112117
15:21:14.953	90	0.0158292	-0.00203269	0.0169112	-0.0109612
15:21:15.953	91	0.0167321	-0.00337581	0.0175188	-0.010424
15:21:16.953	92	0.0174845	-0.00392238	0.0181302	-0.0106858
15:21:17.953	93	0.0171164	-0.00541064	0.01846	-0.0105741
15:21:18.953	94	0.0171745	-0.00557142	0.0194031	-0.0103072	F1
15:21:19.953	95	0.232174	-0.00585482	0.0192002	-0.010546
15:21:20.953	96	0.310927	0.0254805	0.0191396	-0.0108807
15:21:21.953	97	0.282261	0.0283637	0.0192892	-0.0107657	F1
15:21:22.953	98	-0.24916	0.0255579	0.0195605	-0.0107068
15:21:23.953	99	-0.202244	0.0254038	0.019926	-0.0104653
15:21:24.953	100	-0.126564	0.0262374	0.020312	-0.0102215
15:21:25.953	101	-0.00947039	0.0268767	0.0209176	-0.00931554
15:21:26.953	102	0.115484	0.0301389	-0.0690785	-0.00807962
15:21:27.953	103	0.214924	0.031106	-0.0396991	-0.00760531
15:21:28.953	104	0.270318	0.0324807	-0.214521	-0.00685473
15:21:29.953	105	0.279363	0.0337763	-0.141139	-0.00594292
15:21:30.953	106	0.190847	0.0331571	-0.12741	-0.0055045
15:21:31.953	107	-0.0579205	0.0317717	-0.083167	-0.00457172
15:21:32.953	108	-0.248351	0.0315494	-0.0613719	-0.00418469
