"Date","Stim","id","Leaf","bl.1st","maxDepol","hyperpol.amplitude","hyperpol.slope","depol.slope.frame","maxHyperpol","halfmax.depol.frame","depol.slope","depol.amplitude","halfmax.repol.frame","maxRepol","hyperpol.amplitude.2nd","bl.2nd","depol.duration","hyperpol.duration","stimFrame"
241010,"CG",1,"L08",-0.12167249122807,-73.4941666666667,-3.22617084210526,4.37846666666667,-9,-3.34784333333333,-2,-24.3786833333333,-76.84201,32,-5.63849666666667,8.7555331147541,-14.3940297814208,34,7,116
241010,"CG",2,"L08",-2.07331355,-80.1542333333333,-0.795539783333334,-0.0106999999999999,-17,-2.86885333333333,14,-19.3479,-83.0230866666667,35,-24.6467833333333,0.75641092896176,-25.4031942622951,21,31,102
241010,"CG",2,"L13",0.235103945033333,-59.6041333333333,10.5992460549667,1.96005666666667,34,10.83435,39,-16.51092,-70.4384833333333,70,7.25454,10.9046353260656,-3.65009532606557,31,5,102
241010,"CG",3,"L08",-0.11237586156383,-72.1787666666667,8.97421586156383,2.04746666666667,6,8.86184,16,-11.7076,-81.0406066666667,48,-13.1554666666667,0.647810109289617,-13.8032767759563,32,10,96
241010,"CG",3,"L13",0.933789322695036,-46.0561333333333,11.3324440106383,1.90097,44,12.2662333333333,48,-18.2739666666667,-58.3223666666667,113,9.0665,1.19611163934426,7.87038836065574,65,4,96
241010,"CG",4,"L08",-2.79390329223301,-116.804666666667,6.21105995889968,2.57739333333333,7,3.41715666666667,22,-20.6117666666667,-120.221823333333,28,-14.5464,1.27228306010929,-15.8186830601093,6,15,105
241010,"CG",4,"L13",2.04176542357605,-55.2189,14.7058012430906,2.16136666666667,39,16.7475666666667,44,-24.4575333333333,-71.9664666666667,149,-1.53986666666667,15.1586068852459,-16.6984735519126,105,5,105
241010,"CG",6,"L08",1.74014100243728,-70.3659333333333,2.53915566422939,0.075966666666667,-18,4.27929666666667,15,-12.8044333333333,-74.64523,46,-22.3813666666667,4.2397893442623,-26.621156010929,31,33,95
241010,"CG",6,"L13",2.41801695340502,-66.1039666666667,5.91886971326165,0.89997,32,8.33688666666667,44,-21.7655416666667,-74.4408533333334,90,-2.72809333333333,3.93056254098361,-6.65865587431694,46,12,95
241010,"CG",7,"L08",-0.12167249122807,-73.4941666666667,-3.22617084210526,4.37846666666667,-9,-3.34784333333333,-2,-24.3786833333333,-76.84201,32,-5.63849666666667,5.10384852459017,-10.7423451912568,34,7,116
241010,"CG",9,"L08",-0.12167249122807,-73.4941666666667,-3.22617084210526,4.37846666666667,-9,-3.34784333333333,-2,-24.3786833333333,-76.84201,32,-5.63849666666667,5.10384852459017,-10.7423451912568,34,7,116
241010,"CG",10,"L08",-2.07331355,-80.1542333333333,-0.795539783333334,-0.0106999999999999,-17,-2.86885333333333,14,-19.3479,-83.0230866666667,35,-24.6467833333333,0.75641092896176,-25.4031942622951,21,31,102
241010,"CG",10,"L13",0.235103945033333,-59.6041333333333,10.5992460549667,1.96005666666667,34,10.83435,39,-16.51092,-70.4384833333333,70,7.25454,10.9046353260656,-3.65009532606557,31,5,102
241010,"CG",11,"L08",-0.11237586156383,-72.1787666666667,8.97421586156383,2.04746666666667,6,8.86184,16,-11.7076,-81.0406066666667,48,-13.1554666666667,2.31488169398907,-15.4703483606557,32,10,96
241010,"CG",11,"L13",0.933789322695036,-46.0561333333333,11.3324440106383,1.90097,44,12.2662333333333,48,-18.2739666666667,-58.3223666666667,113,9.0665,5.71096322404372,3.35553677595628,65,4,96
241010,"CG",12,"L13",2.04176542357605,-55.2189,14.7058012430906,2.16136666666667,39,16.7475666666667,44,-24.4575333333333,-71.9664666666667,150,-1.252086,4.11574546994536,-5.36783146994536,106,5,105
241010,"CG",14,"L08",1.74014100243728,-70.3659333333333,2.53915566422939,0.075966666666667,-18,4.27929666666667,15,-12.8044333333333,-74.64523,46,-22.3813666666667,3.1325693989071,-25.5139360655738,31,33,95
241010,"CG",14,"L13",2.41801695340502,-66.1039666666667,5.91886971326165,0.89997,32,8.33688666666667,44,-21.7655416666667,-74.4408533333334,90,-2.72809333333333,13.2260203278689,-15.9541136612022,46,12,95
241010,"CG",15,"L08",-0.12167249122807,-73.4941666666667,-3.22617084210526,4.37846666666667,-9,-3.34784333333333,-2,-24.3786833333333,-76.84201,32,-5.63849666666667,13.1082743715847,-18.7467710382514,34,7,116
