Time	E1_L08.1PG_Col0	E2_L13.1	E3_L08.2PG_example1	E4_L13.2
1.05	-0.00639109	-0.00528218	0.0384229	0.004502
1.06	-0.00637779	-0.00502571	0.0388033	0.00443883
1.07	-0.00638745	-0.00539453	0.0384226	0.00436229
1.08	-0.00636892	-0.00515325	0.0386189	0.00429126
1.09	-0.00645901	-0.00521363	0.0384962	0.00433194
1.1	-0.00629733	-0.00524271	0.0386682	0.00438425
1.11	-0.00638286	-0.00511282	0.0384755	0.00438631
1.12	-0.00634268	-0.00504882	0.0383275	0.00429102
1.13	-0.00643918	-0.00522595	0.0382912	0.00434717
1.14	-0.00627043	-0.00509166	0.0384167	0.00443344
1.15	-0.0063468	-0.00521067	0.0388251	0.00456021
1.16	-0.0062444	-0.00501511	0.038807	0.00461747
1.17	-0.00635418	-0.00516903	0.0381811	0.00475286
1.18	-0.00629102	-0.00507985	0.0388481	0.00437804
1.19	-0.00635482	-0.00538281	0.0386251	0.00442823
1.2	-0.00620708	-0.00529987	0.0386735	0.00444579
1.21	-0.00625586	-0.00514298	0.0387159	0.00462127
1.22	-0.00632688	-0.00494747	0.0388082	0.00444994
1.23	-0.00629872	-0.00517406	0.0384911	0.00461437
1.24	-0.0061285	-0.00513755	0.0390822	0.00438516
1.25	-0.00630403	-0.00540175	0.0386806	0.00457479
1.26	-0.00596932	-0.00511274	0.0390587	0.00458599
1.27	-0.00633762	-0.00518787	0.0385469	0.00450429
1.28	-0.00639345	-0.00490948	0.0390304	0.00449065
1.29	-0.00635836	-0.00510764	0.0387839	0.004516
1.3	-0.00635552	-0.00484294	0.0390254	0.00450758
1.31	-0.00626308	-0.00522211	0.0386822	0.00478176
1.32	-0.00611344	-0.00512553	0.039088	0.00454301
1.33	-0.00621315	-0.00528755	0.0387471	0.00463318
1.34	-0.00625271	-0.00507484	0.0390244	0.00442607
1.35	-0.0063335	-0.00529956	0.0387881	0.00437835
1.36	-0.00612917	-0.00522269	0.0389392	0.00443278
1.37	-0.00630114	-0.00547956	0.0384206	0.00449472
1.38	-0.00640373	-0.00523147	0.0388082	0.00441378
1.39	-0.00644487	-0.00529471	0.0384636	0.00463191
1.4	-0.00650687	-0.0051407	0.038787	0.00468767
1.41	-0.00644383	-0.00519222	0.038914	0.00463971
1.42	-0.00639687	-0.00514633	0.0391098	0.004456
1.43	-0.00645802	-0.00519069	0.0388803	0.00452894
1.44	-0.00622579	-0.0050265	0.0390306	0.00448435
1.45	-0.00646845	-0.00531254	0.0388045	0.00469093
1.46	-0.0062215	-0.0050602	0.0390101	0.00454754
1.47	-0.00643516	-0.00520975	0.0388776	0.00482648
1.48	-0.00605967	-0.00486223	0.0390425	0.00469534
1.49	-0.00651704	-0.00516659	0.0389684	0.00475782
1.5	-0.00623936	-0.00505324	0.0393176	0.00459624
