TimeOfDay	Time	E1_L08.1CG_example1	E2_L13.1	E3_L13.2	E4_L08.2CG_Col0
15:08:08.139	80	0.0369483	0.0330047	0.0348972	0.0184265
15:08:09.139	81	0.0368789	0.0329459	0.0352209	0.0182287
15:08:10.139	82	0.0375753	0.032903	0.0359126	0.0184796
15:08:11.139	83	0.0379884	0.0331277	0.0361001	0.0187336
15:08:12.139	84	0.0390027	0.0324266	0.0362859	0.0188208
15:08:13.139	85	0.0392252	0.0324943	0.0366913	0.0186726
15:08:14.139	86	0.03989	0.0327044	0.037561	0.019025
15:08:15.139	87	0.0407957	0.0330204	0.0379748	0.0194922
15:08:16.139	88	0.0409586	0.033267	0.0387147	0.0195959
15:08:17.139	89	0.0413761	0.0336258	0.039138	0.0197449
15:08:18.139	90	0.0420951	0.0338431	0.0396112	0.0199855
15:08:19.139	91	0.0420612	0.0340606	0.0402442	0.019962
15:08:20.139	92	0.0427966	0.034428	0.040273	0.0198896
15:08:21.139	93	0.0435211	0.0348715	0.0410429	0.02026	F1
15:08:22.139	94	-0.0285264	0.0229691	0.0412366	0.020783
15:08:23.139	95	-0.0479899	0.0254705	0.0405981	0.0209798	F1
15:08:24.139	96	-0.124407	0.0266568	0.0407681	0.0213387
15:08:25.139	97	-0.151368	0.0270123	0.040907	0.0206042
15:08:26.139	98	-0.21744	0.0267263	0.0408428	0.0208117	F1
15:08:27.139	99	-0.282549	0.0262597	0.0461431	-0.0457046
15:08:28.139	100	-0.332479	0.0244184	0.060666	-0.226059	F1
15:08:29.139	101	-0.361694	0.0247925	0.0652515	-0.382409
15:08:30.139	102	-0.369238	0.0242669	0.064969	-0.470325
15:08:31.139	103	-0.352266	0.0239182	0.0635936	-0.507817
15:08:32.139	104	-0.32123	0.0238705	0.0633414	-0.459712
15:08:33.139	105	-0.285231	0.0233127	0.0630585	-0.365824
15:08:34.139	106	-0.260562	0.0235749	0.0626444	-0.270223
15:08:35.139	107	-0.304281	0.0234068	0.0618808	-0.205475
15:08:36.139	108	-0.460409	0.0236108	0.0614642	-0.201499
15:08:37.139	109	-0.642377	0.0238407	0.0615546	-0.31791
15:08:38.139	110	-0.688414	0.0238542	0.0603985	-0.597007
15:08:39.139	111	-0.700777	0.0235405	0.0599086	-0.885251
15:08:40.139	112	-0.699914	0.0232187	0.0589182	-0.988029
15:08:41.139	113	-0.70279	0.0231211	0.0582224	-0.983211
15:08:42.139	114	-0.70511	0.0237582	0.0581337	-0.985247
15:08:43.139	115	-0.703078	0.0239259	0.0576753	-0.995135
15:08:44.139	116	-0.696505	0.0240488	0.05625	-1.00412
15:08:45.139	117	-0.686254	0.02396	0.0559786	-1.01455
15:08:46.139	118	-0.676275	0.0243111	0.0557893	-1.02822
15:08:47.139	119	-0.670928	0.0244888	0.0565461	-1.03427
15:08:48.139	120	-0.669302	0.0245359	0.0593262	-1.02989
15:08:49.139	121	-0.668136	0.0249461	0.0682492	-1.00683
15:08:50.139	122	-0.663776	0.0258685	0.0920487	-0.966206
15:08:51.139	123	-0.652604	0.0269471	0.122688	-0.923276
15:08:52.139	124	-0.633128	0.0324805	0.157136	-0.876555
15:08:53.139	125	-0.616123	0.0416856	0.193835	-0.828758
15:08:54.139	126	-0.601887	0.0512652	0.2407	-0.772622
15:08:55.139	127	-0.589463	0.0594796	0.325076	-0.686564
15:08:56.139	128	-0.580506	0.0659501	0.389626	-0.618116
15:08:57.139	129	-0.573214	0.0715408	0.409565	-0.586231
15:08:58.139	130	-0.565744	0.07618	0.426716	-0.554487
15:08:59.139	131	-0.558959	0.0799922	0.426448	-0.535577
15:09:00.139	132	-0.550213	0.0840822	0.403525	-0.514039
15:09:01.139	133	-0.540643	0.0860322	0.299368	-0.495088
15:09:02.139	134	-0.532075	0.0783422	-0.00368954	-0.482923
15:09:03.139	135	-0.52305	0.0498256	-0.358649	-0.469674
15:09:04.139	136	-0.515992	-0.00746675	-0.407479	-0.458158
15:09:05.139	137	-0.505973	-0.166046	-0.343256	-0.445319
15:09:06.139	138	-0.494841	-0.436854	-0.298032	-0.42044
15:09:07.139	139	-0.480389	-0.660433	-0.254635	-0.378529
15:09:08.139	140	-0.457995	-0.688557	-0.19512	-0.310592
15:09:09.139	141	-0.434776	-0.634129	-0.163772	-0.267671
15:09:10.139	142	-0.415658	-0.607274	-0.151576	-0.244271
15:09:11.139	143	-0.394694	-0.590792	-0.133953	-0.220277
15:09:12.139	144	-0.369679	-0.574906	-0.120555	-0.203004
15:09:13.139	145	-0.350605	-0.564693	-0.0934604	-0.170895
15:09:14.139	146	-0.338378	-0.560876	-0.0659598	-0.137753
15:09:15.139	147	-0.327235	-0.555851	-0.0885938	-0.153597
15:09:16.139	148	-0.317774	-0.549973	-0.0954152	-0.15468
15:09:17.139	149	-0.30871	-0.543322	-0.099459	-0.152076
15:09:18.139	150	-0.298473	-0.534882	-0.101955	-0.149792
15:09:19.139	151	-0.290208	-0.526843	-0.105273	-0.149525
15:09:20.139	152	-0.283038	-0.519184	-0.108094	-0.148942
15:09:21.139	153	-0.276069	-0.511009	-0.111207	-0.148384
15:09:22.139	154	-0.268381	-0.501646	-0.114395	-0.14842
15:09:23.139	155	-0.263099	-0.494	-0.117878	-0.148829
15:09:24.139	156	-0.258851	-0.487696	-0.121162	-0.149139
15:09:25.139	157	-0.256123	-0.483001	-0.124488	-0.149807
15:09:26.139	158	-0.254305	-0.479534	-0.129143	-0.150629
15:09:27.139	159	-0.252891	-0.475841	-0.133713	-0.151463
15:09:28.139	160	-0.251422	-0.471814	-0.138652	-0.152519
15:09:29.139	161	-0.249626	-0.468161	-0.144084	-0.152971
15:09:30.139	162	-0.247743	-0.463749	-0.150196	-0.153084
15:09:31.139	163	-0.245669	-0.459089	-0.156107	-0.153258
15:09:32.139	164	-0.244114	-0.454511	-0.159806	-0.15283
15:09:33.139	165	-0.242573	-0.449861	-0.160924	-0.152517
15:09:34.139	166	-0.241118	-0.4449	-0.162956	-0.152678
15:09:35.139	167	-0.239774	-0.440243	-0.165786	-0.153432
15:09:36.139	168	-0.238319	-0.435272	-0.169419	-0.154463
15:09:37.139	169	-0.237108	-0.430244	-0.173456	-0.156297
15:09:38.139	170	-0.235555	-0.424971	-0.178238	-0.158505
15:09:39.139	171	-0.233859	-0.41953	-0.183474	-0.161584
15:09:40.139	172	-0.232265	-0.413566	-0.188381	-0.164853
15:09:41.139	173	-0.230743	-0.408587	-0.193571	-0.168602
15:09:42.139	174	-0.229481	-0.403209	-0.198974	-0.173617
15:09:43.139	175	-0.228043	-0.397567	-0.204566	-0.178586
15:09:44.139	176	-0.227016	-0.392477	-0.210377	-0.183828
15:09:45.139	177	-0.226502	-0.386671	-0.21689	-0.189473
15:09:46.139	178	-0.225591	-0.379737	-0.223278	-0.19528
15:09:47.139	179	-0.224695	-0.371487	-0.230103	-0.201206
15:09:48.139	180	-0.223748	-0.362213	-0.236916	-0.207566
15:09:49.139	181	-0.223658	-0.355683	-0.244459	-0.213163
15:09:50.139	182	-0.224035	-0.35019	-0.25172	-0.219348
15:09:51.139	183	-0.225072	-0.343195	-0.259972	-0.225056
15:09:52.139	184	-0.225736	-0.334919	-0.267749	-0.231247
15:09:53.139	185	-0.226647	-0.325474	-0.275585	-0.237172
15:09:54.139	186	-0.22753	-0.314955	-0.282977	-0.242929
15:09:55.139	187	-0.228778	-0.303403	-0.289986	-0.248393
15:09:56.139	188	-0.229782	-0.289515	-0.297101	-0.25439
15:09:57.139	189	-0.230918	-0.275127	-0.305189	-0.260101
15:09:58.139	190	-0.232342	-0.260129	-0.312056	-0.26618
15:09:59.139	191	-0.233585	-0.244382	-0.319317	-0.271749
15:10:00.139	192	-0.235127	-0.22823	-0.326134	-0.276952
15:10:01.139	193	-0.236621	-0.211809	-0.333277	-0.282658
15:10:02.139	194	-0.238147	-0.194708	-0.339706	-0.287646
15:10:03.139	195	-0.23971	-0.178218	-0.346416	-0.292343
15:10:04.139	196	-0.241514	-0.162244	-0.352275	-0.296758
15:10:05.139	197	-0.242722	-0.147889	-0.357555	-0.301549
15:10:06.139	198	-0.244616	-0.133617	-0.361494	-0.305911
15:10:07.139	199	-0.246426	-0.120785	-0.365931	-0.310616
15:10:08.139	200	-0.2479	-0.109485	-0.370412	-0.314191
15:10:09.139	201	-0.2492	-0.0982519	-0.373767	-0.318344
15:10:10.139	202	-0.250478	-0.0881638	-0.37651	-0.322319
15:10:11.139	203	-0.25162	-0.0792943	-0.378724	-0.326324
15:10:12.139	204	-0.252487	-0.0706662	-0.380418	-0.330034
15:10:13.139	205	-0.254056	-0.063477	-0.382116	-0.333892
15:10:14.139	206	-0.255173	-0.0569535	-0.382524	-0.337307
15:10:15.139	207	-0.256676	-0.051864	-0.382416	-0.340552
15:10:16.139	208	-0.258114	-0.0478251	-0.381166	-0.344021
15:10:17.139	209	-0.259733	-0.0448659	-0.379431	-0.347063
15:10:18.139	210	-0.261325	-0.0420078	-0.377546	-0.350228
15:10:19.139	211	-0.262206	-0.0398449	-0.374543	-0.352497
15:10:20.139	212	-0.263966	-0.0380588	-0.371201	-0.35519
15:10:21.139	213	-0.265107	-0.0363015	-0.367592	-0.358025
15:10:22.139	214	-0.266426	-0.0348939	-0.362642	-0.36061
15:10:23.139	215	-0.268029	-0.0341042	-0.35788	-0.363558
15:10:24.139	216	-0.2694	-0.0339428	-0.351623	-0.366247
15:10:25.139	217	-0.271167	-0.0352121	-0.331835	-0.368733
15:10:26.139	218	-0.272843	-0.0351118	-0.2786	-0.371694
15:10:27.139	219	-0.273744	-0.0340043	-0.289372	-0.3742
15:10:28.139	220	-0.274557	-0.0327751	-0.233578	-0.376722
15:10:29.139	221	-0.275516	-0.0320865	-0.238593	-0.378595
15:10:30.139	222	-0.276203	-0.0311118	-0.22438	-0.38052
15:10:31.139	223	-0.277111	-0.0309158	-0.218914	-0.381996
15:10:32.139	224	-0.278313	-0.0301052	-0.22883	-0.383671
15:10:33.139	225	-0.278529	-0.0294808	-0.221002	-0.385088
15:10:34.139	226	-0.278273	-0.0289379	-0.187429	-0.387023
15:10:35.139	227	-0.278563	-0.0282509	-0.167178	-0.38874
15:10:36.139	228	-0.278488	-0.0275738	-0.157342	-0.390253
15:10:37.139	229	-0.278519	-0.0271518	-0.163386	-0.391656
15:10:38.139	230	-0.278557	-0.0272758	-0.151762	-0.393196
15:10:39.139	231	-0.278317	-0.0274152	-0.13617	-0.394032
15:10:40.139	232	-0.277715	-0.027512	-0.115959	-0.394847
15:10:41.139	233	-0.277665	-0.0277647	-0.134714	-0.395973
15:10:42.139	234	-0.277564	-0.0284829	-0.130373	-0.39669
15:10:43.139	235	-0.27768	-0.0289191	-0.130426	-0.397569
